"id","tournament_title","tournament_link","tournament_year","tournament_start_date","last_update"
106,Antalya,/en/scores/archive/antalya/7650/2018/draws?matchtype=singles,2018,2018-06-24 00:00:00,2020-09-29 11:12:58
107,Eastbourne,/en/scores/archive/eastbourne/741/2018/draws?matchtype=singles,2018,2018-06-25 00:00:00,2020-09-29 11:13:00
108,Wimbledon,/en/scores/archive/wimbledon/540/2018/draws?matchtype=singles,2018,2018-07-02 00:00:00,2020-09-29 11:13:04
109,Newport,/en/scores/archive/newport/315/2018/draws?matchtype=singles,2018,2018-07-16 00:00:00,2020-09-29 11:13:06
110,Bastad,/en/scores/archive/bastad/316/2018/draws?matchtype=singles,2018,2018-07-16 00:00:00,2020-09-29 11:13:08
111,Umag,/en/scores/archive/umag/439/2018/draws?matchtype=singles,2018,2018-07-16 00:00:00,2020-09-29 11:13:10
112,Hamburg,/en/scores/archive/hamburg/414/2018/draws?matchtype=singles,2018,2018-07-23 00:00:00,2020-09-29 11:13:12
113,Atlanta,/en/scores/archive/atlanta/6116/2018/draws?matchtype=singles,2018,2018-07-23 00:00:00,2020-09-29 11:13:14
114,Gstaad,/en/scores/archive/gstaad/314/2018/draws?matchtype=singles,2018,2018-07-23 00:00:00,2020-09-29 11:13:16
115,Washington,/en/scores/archive/washington/418/2018/draws?matchtype=singles,2018,2018-07-30 00:00:00,2020-09-29 11:13:19
117,Kitzbuhel,/en/scores/archive/kitzbuhel/319/2018/draws?matchtype=singles,2018,2018-07-30 00:00:00,2020-09-29 11:13:23
118,ATP Masters 1000 Canada,/en/scores/archive/toronto/421/2018/draws?matchtype=singles,2018,2018-08-06 00:00:00,2020-09-29 11:13:25
119,ATP Masters 1000 Cincinnati,/en/scores/archive/cincinnati/422/2018/draws?matchtype=singles,2018,2018-08-12 00:00:00,2020-09-29 11:13:28
120,Winston-Salem,/en/scores/archive/winston-salem/6242/2018/draws?matchtype=singles,2018,2018-08-19 00:00:00,2020-09-29 11:13:31
121,US Open,/en/scores/archive/us-open/560/2018/draws?matchtype=singles,2018,2018-08-27 00:00:00,2020-09-29 11:13:36
122,St. Petersburg,/en/scores/archive/st-petersburg/568/2018/draws?matchtype=singles,2018,2018-09-17 00:00:00,2020-09-29 11:13:38
123,Metz,/en/scores/archive/metz/341/2018/draws?matchtype=singles,2018,2018-09-17 00:00:00,2020-09-29 11:13:40
125,Chengdu,/en/scores/archive/chengdu/7581/2018/draws?matchtype=singles,2018,2018-09-24 00:00:00,2020-09-29 11:13:42
126,Shenzhen,/en/scores/archive/shenzhen/6967/2018/draws?matchtype=singles,2018,2018-09-24 00:00:00,2020-09-29 11:13:44
127,Beijing,/en/scores/archive/beijing/747/2018/draws?matchtype=singles,2018,2018-10-01 00:00:00,2020-09-29 11:13:45
128,Tokyo,/en/scores/archive/tokyo/329/2018/draws?matchtype=singles,2018,2018-10-01 00:00:00,2020-09-29 11:13:47
130,Moscow,/en/scores/archive/moscow/438/2018/draws?matchtype=singles,2018,2018-10-15 00:00:00,2020-09-29 11:16:31
131,Antwerp,/en/scores/archive/antwerp/7485/2018/draws?matchtype=singles,2018,2018-10-15 00:00:00,2020-09-29 11:16:35
132,Stockholm,/en/scores/archive/stockholm/429/2018/draws?matchtype=singles,2018,2018-10-15 00:00:00,2020-09-29 11:16:39
133,Vienna,/en/scores/archive/vienna/337/2018/draws?matchtype=singles,2018,2018-10-22 00:00:00,2020-09-29 11:16:41
134,Basel,/en/scores/archive/basel/328/2018/draws?matchtype=singles,2018,2018-10-22 00:00:00,2020-09-29 11:16:44
135,ATP Masters 1000 Paris,/en/scores/archive/paris/352/2018/draws?matchtype=singles,2018,2018-10-29 00:00:00,2020-09-29 11:16:48
136,Next Gen ATP Finals,/en/scores/archive/next-gen-atp-finals/7696/2018/draws?matchtype=singles,2018,2018-11-06 00:00:00,2020-09-29 11:16:49
193,Laver Cup,/en/scores/archive/laver-cup/9210/2017/draws?matchtype=singles,2017,2017-09-22 00:00:00,
138,Brisbane,/en/scores/archive/brisbane/339/2017/draws?matchtype=singles,2017,2017-01-01 00:00:00,2020-09-29 11:16:52
139,Doha,/en/scores/archive/doha/451/2017/draws?matchtype=singles,2017,2017-01-02 00:00:00,2020-09-29 11:16:54
141,Sydney,/en/scores/archive/sydney/338/2017/draws?matchtype=singles,2017,2017-01-08 00:00:00,2020-09-29 11:16:58
142,Auckland,/en/scores/archive/auckland/301/2017/draws?matchtype=singles,2017,2017-01-09 00:00:00,2020-09-29 11:17:00
143,Australian Open,/en/scores/archive/australian-open/580/2017/draws?matchtype=singles,2017,2017-01-16 00:00:00,2020-09-29 11:17:05
144,Montpellier,/en/scores/archive/montpellier/375/2017/draws?matchtype=singles,2017,2017-02-06 00:00:00,2020-09-29 11:17:07
145,Quito,/en/scores/archive/quito/7161/2017/draws?matchtype=singles,2017,2017-02-06 00:00:00,2020-09-29 11:17:09
146,Sofia,/en/scores/archive/sofia/7434/2017/draws?matchtype=singles,2017,2017-02-06 00:00:00,2020-09-29 11:17:11
147,Rotterdam,/en/scores/archive/rotterdam/407/2017/draws?matchtype=singles,2017,2017-02-13 00:00:00,2020-09-29 11:17:13
148,Memphis,/en/scores/archive/memphis/424/2017/draws?matchtype=singles,2017,2017-02-13 00:00:00,2020-09-29 11:17:15
149,Buenos Aires,/en/scores/archive/buenos-aires/506/2017/draws?matchtype=singles,2017,2017-02-13 00:00:00,2020-09-29 11:17:17
151,Marseille,/en/scores/archive/marseille/496/2017/draws?matchtype=singles,2017,2017-02-20 00:00:00,2020-09-29 11:17:21
152,Delray Beach,/en/scores/archive/delray-beach/499/2017/draws?matchtype=singles,2017,2017-02-20 00:00:00,2020-09-29 11:17:23
153,Dubai,/en/scores/archive/dubai/495/2017/draws?matchtype=singles,2017,2017-02-27 00:00:00,2020-09-29 11:17:25
154,Acapulco,/en/scores/archive/acapulco/807/2017/draws?matchtype=singles,2017,2017-02-27 00:00:00,2020-09-29 11:17:27
155,Sao Paulo,/en/scores/archive/sao-paulo/533/2017/draws?matchtype=singles,2017,2017-02-27 00:00:00,2020-09-29 11:17:29
156,ATP Masters 1000 Indian Wells,/en/scores/archive/indian-wells/404/2017/draws?matchtype=singles,2017,2017-03-09 00:00:00,2020-09-29 11:17:34
157,ATP Masters 1000 Miami,/en/scores/archive/miami/403/2017/draws?matchtype=singles,2017,2017-03-22 00:00:00,2020-09-29 11:17:39
158,Houston,/en/scores/archive/houston/717/2017/draws?matchtype=singles,2017,2017-04-10 00:00:00,2020-09-29 11:17:41
159,Marrakech,/en/scores/archive/marrakech/360/2017/draws?matchtype=singles,2017,2017-04-10 00:00:00,2020-09-29 11:17:43
161,Barcelona,/en/scores/archive/barcelona/425/2017/draws?matchtype=singles,2017,2017-04-24 00:00:00,2020-09-29 11:17:49
162,Budapest,/en/scores/archive/budapest/7648/2017/draws?matchtype=singles,2017,2017-04-24 00:00:00,2020-09-29 11:17:51
163,Estoril,/en/scores/archive/estoril/7290/2017/draws?matchtype=singles,2017,2017-05-01 00:00:00,2020-09-29 11:17:53
164,Munich,/en/scores/archive/munich/308/2017/draws?matchtype=singles,2017,2017-05-01 00:00:00,2020-09-29 11:17:55
165,Istanbul,/en/scores/archive/istanbul/7163/2017/draws?matchtype=singles,2017,2017-05-01 00:00:00,2020-09-29 11:17:57
