"id","tournament_id","player1_id","player2_id","round_num","winner_id"
83,3,77,78,2,77
84,3,81,82,2,82
85,3,84,86,2,86
86,3,87,89,2,87
87,3,62,68,3,62
88,3,69,75,3,69
89,3,77,82,3,77
90,3,86,87,3,86
91,3,62,69,4,62
92,3,77,86,4,86
93,3,62,86,5,62
94,4,90,34,1,90
95,4,91,92,1,92
96,4,93,39,1,93
97,4,50,6,1,6
98,4,94,34,1,94
99,4,60,14,1,14
100,4,49,56,1,56
101,4,5,95,1,5
102,4,3,42,1,3
103,4,57,96,1,57
104,4,82,97,1,97
105,4,34,69,1,69
106,4,40,19,1,40
107,4,98,7,1,98
108,4,38,20,1,38
109,4,34,33,1,33
110,4,90,92,2,90
111,4,93,6,2,6
112,4,94,14,2,94
113,4,56,5,2,56
114,4,3,57,2,57
115,4,97,69,2,69
116,4,40,98,2,40
117,4,38,33,2,38
118,4,90,6,3,6
119,4,94,56,3,94
120,4,57,69,3,69
121,4,40,38,3,40
122,4,6,94,4,6
123,4,69,40,4,40
124,4,6,40,5,40
125,5,99,34,1,99
126,5,4,59,1,59
127,5,100,75,1,100
128,5,101,102,1,101
129,5,103,34,1,103
130,5,11,104,1,104
131,5,51,63,1,51
132,5,105,89,1,105
133,5,106,44,1,44
134,5,107,15,1,15
135,5,29,58,1,58
136,5,34,24,1,24
137,5,108,53,1,53
138,5,27,109,1,27
139,5,21,30,1,30
140,5,34,110,1,110
141,5,99,59,2,59
142,5,100,101,2,100
143,5,103,104,2,103
144,5,51,105,2,51
145,5,44,15,2,44
146,5,58,24,2,58
147,5,53,27,2,27
148,5,30,110,2,110
149,5,59,100,3,100
150,5,103,51,3,51
151,5,44,58,3,58
152,5,27,110,3,27
153,5,100,51,4,100
154,5,58,27,4,58
155,5,100,58,5,58
156,7,1,144,1,1
157,7,36,93,1,36
158,7,33,35,1,33
159,7,83,102,1,102
160,7,17,145,1,17
161,7,80,4,1,4
162,7,73,49,1,49
163,7,146,41,1,41
